No,Nama Menu,Menu Name (EN),Harga,Kategori,Category (EN),Deskripsi (ID),Description (EN)
1,Nasi Goreng Udang,Shrimp Fried Rice,"Rp 25,000",Nasi dan Mie,Rice & Noodles,"Nasi goreng gurih dengan udang, cocok untuk pilihan makan yang praktis dan mengenyangkan.","Savory fried rice with shrimp, a practical and filling choice for any meal."
2,Nasi Putih,White Rice,"Rp 6,000",Nasi dan Mie,Rice & Noodles,"Nasi putih hangat yang pas dipadukan dengan lauk, sayur, atau menu berbumbu.","Warm steamed rice that pairs well with side dishes, vegetables, or seasoned mains."
3,Nasi Goreng Sapi,Beef Fried Rice,"Rp 25,000",Nasi dan Mie,Rice & Noodles,Nasi goreng dengan potongan sapi yang memberi rasa lebih kaya dan mantap.,Fried rice with beef pieces for a richer and more satisfying flavor.
4,Nasi Goreng Ayam,Chicken Fried Rice,"Rp 18,000",Nasi dan Mie,Rice & Noodles,"Nasi goreng ayam dengan rasa gurih seimbang, cocok untuk menu favorit sehari-hari.","Chicken fried rice with a balanced savory taste, perfect as an everyday favorite."
5,Nasi Goreng Cumi,Squid Fried Rice,"Rp 25,000",Nasi dan Mie,Rice & Noodles,Nasi goreng cumi dengan aroma khas seafood dan bumbu yang meresap.,Squid fried rice with a distinct seafood aroma and well-seasoned flavor.
6,Mie Goreng Udang,Shrimp Fried Noodles,"Rp 25,000",Nasi dan Mie,Rice & Noodles,Mie goreng udang dengan tekstur kenyal dan rasa gurih yang ringan.,Shrimp fried noodles with a chewy texture and a light savory taste.
7,Mie Goreng Ayam,Chicken Fried Noodles,"Rp 18,000",Nasi dan Mie,Rice & Noodles,"Mie goreng ayam yang sederhana, hangat, dan cocok dinikmati kapan saja.","Chicken fried noodles that are simple, warm, and enjoyable at any time."
8,Mie Goreng Sapi,Beef Fried Noodles,"Rp 25,000",Nasi dan Mie,Rice & Noodles,Mie goreng sapi dengan bumbu gurih dan potongan daging yang menambah rasa.,Beef fried noodles with savory seasoning and meat pieces for extra flavor.
9,Mie Goreng Cumi,Squid Fried Noodles,"Rp 25,000",Nasi dan Mie,Rice & Noodles,Mie goreng cumi dengan cita rasa seafood yang khas dan aroma menggugah selera.,Squid fried noodles with a distinctive seafood taste and appetizing aroma.
10,Ikan Laut Goreng Krispi,Crispy Fried Sea Fish,"Rp 45,000",Gorengan,Fried Dishes,Ikan laut digoreng krispi hingga renyah di luar dan tetap lembut di dalam.,Sea fish fried until crispy on the outside while staying tender inside.
11,Ikan Gurame Goreng Krispi,Crispy Fried Gurame Fish,"Rp 45,000",Gorengan,Fried Dishes,"Gurame goreng krispi dengan rasa gurih, cocok disantap bersama nasi hangat.","Crispy fried gurame with a savory taste, best enjoyed with warm rice."
12,Bebek Goreng Krispi,Crispy Fried Duck,"Rp 25,000",Gorengan,Fried Dishes,Bebek goreng krispi dengan tekstur renyah dan cita rasa yang lebih kuat.,"Crispy fried duck with a crunchy texture and a bold, rich flavor."
13,Ayam Goreng Krispi,Crispy Fried Chicken,"Rp 18,000",Gorengan,Fried Dishes,"Ayam goreng krispi yang renyah, gurih, dan mudah cocok dengan berbagai pendamping.","Crispy fried chicken that is crunchy, savory, and easy to pair with sides."
14,Tahu Goreng,Fried Tofu,"Rp 15,000",Gorengan,Fried Dishes,"Tahu goreng isi 5 pcs, ringan untuk camilan atau pelengkap lauk.","Five pieces of fried tofu, light enough for a snack or meal side."
15,Tempe Goreng,Fried Tempeh,"Rp 15,000",Gorengan,Fried Dishes,Tempe goreng isi 5 pcs dengan rasa gurih khas dan tekstur renyah.,Five pieces of fried tempeh with a distinct savory taste and crispy texture.
