No,Nama Menu,Menu Name (EN),Harga,Kategori,Category (EN),Deskripsi (ID),Description (EN)
1,Nasi Goreng Udang,Shrimp Fried Rice,"Rp 25,000",Nasi dan Mie,Rice & Noodles,Nasi goreng dengan tambahan udang dan bumbu gurih khas Warung Baleganjur.,Fried rice with shrimp and Baleganjur's signature savory seasoning.
2,Nasi Putih,White Rice,"Rp 6,000",Nasi dan Mie,Rice & Noodles,Nasi putih hangat sebagai pelengkap berbagai menu utama.,Warm steamed white rice served as a side for main dishes.
3,Nasi Goreng Sapi,Beef Fried Rice,"Rp 25,000",Nasi dan Mie,Rice & Noodles,Nasi goreng dengan tambahan sapi dan bumbu gurih khas Warung Baleganjur.,Fried rice with beef and Baleganjur's signature savory seasoning.
4,Nasi Goreng Ayam,Chicken Fried Rice,"Rp 18,000",Nasi dan Mie,Rice & Noodles,Nasi goreng dengan tambahan ayam dan bumbu gurih khas Warung Baleganjur.,Fried rice with chicken and Baleganjur's signature savory seasoning.
5,Nasi Goreng Cumi,Squid Fried Rice,"Rp 25,000",Nasi dan Mie,Rice & Noodles,Nasi goreng dengan tambahan cumi dan bumbu gurih khas Warung Baleganjur.,Fried rice with squid and Baleganjur's signature savory seasoning.
6,Mie Goreng Udang,Shrimp Fried Noodles,"Rp 25,000",Nasi dan Mie,Rice & Noodles,Mie goreng dengan tambahan udang dan bumbu gurih khas Warung Baleganjur.,Fried noodles with shrimp and Baleganjur's signature savory seasoning.
7,Mie Goreng Ayam,Chicken Fried Noodles,"Rp 18,000",Nasi dan Mie,Rice & Noodles,Mie goreng dengan tambahan ayam dan bumbu gurih khas Warung Baleganjur.,Fried noodles with chicken and Baleganjur's signature savory seasoning.
8,Mie Goreng Sapi,Beef Fried Noodles,"Rp 25,000",Nasi dan Mie,Rice & Noodles,Mie goreng dengan tambahan sapi dan bumbu gurih khas Warung Baleganjur.,Fried noodles with beef and Baleganjur's signature savory seasoning.
9,Mie Goreng Cumi,Squid Fried Noodles,"Rp 25,000",Nasi dan Mie,Rice & Noodles,Mie goreng dengan tambahan cumi dan bumbu gurih khas Warung Baleganjur.,Fried noodles with squid and Baleganjur's signature savory seasoning.
10,Ikan Laut Goreng Krispi,Crispy Fried Sea Fish,"Rp 45,000",Gorengan,Fried Dishes,Ikan laut goreng krispi dengan tekstur renyah dan rasa gurih.,Crispy fried sea fish with a crunchy texture and savory taste.
11,Ikan Gurame Goreng Krispi,Crispy Fried Gurame Fish,"Rp 45,000",Gorengan,Fried Dishes,Ikan gurame goreng krispi dengan tekstur renyah dan rasa gurih.,Crispy fried gurame fish with a crunchy texture and savory taste.
12,Bebek Goreng Krispi,Crispy Fried Duck,"Rp 25,000",Gorengan,Fried Dishes,Bebek goreng krispi dengan tekstur renyah dan rasa gurih.,Crispy fried duck with a crunchy texture and savory taste.
13,Ayam Goreng Krispi,Crispy Fried Chicken,"Rp 18,000",Gorengan,Fried Dishes,Ayam goreng krispi dengan tekstur renyah dan rasa gurih.,Crispy fried chicken with a crunchy texture and savory taste.
14,Tahu Goreng,Fried Tofu,"Rp 15,000",Gorengan,Fried Dishes,"Tahu goreng renyah berisi 5 pcs, cocok sebagai lauk atau camilan.","Crispy fried tofu served in 5 pieces, suitable as a side dish or snack."
15,Tempe Goreng,Fried Tempeh,"Rp 15,000",Gorengan,Fried Dishes,"Tempe goreng renyah berisi 5 pcs, cocok sebagai lauk atau camilan.","Crispy fried tempeh served in 5 pieces, suitable as a side dish or snack."
